x,y,z,
36.20386,37.18674,-1.396573,
36.19848,37.18676,1.646036,
36.20644,37.18677,-0.046374,
36.19929,37.18678,0.284863,
36.20617,37.18679,-2.742055,
36.20383,37.18682,-1.986945,
36.19879,37.18683,0.273542,
36.19794,37.18684,1.154494,
36.20099,37.18684,0.712308,
36.20049,37.18685,1.115388,
36.19896,37.18686,2.613409,
36.19821,37.18689,0.631009,
36.19906,37.18689,0.509832,
36.20611,37.18689,0.113686,
36.20259,37.18691,0.409432,
36.19835,37.18692,-0.231793,
36.20329,37.18692,-0.914368,
36.19923,37.18693,1.055748,
36.20371,37.18693,-0.034866,
36.20648,37.18695,2.168384,
36.19938,37.18697,0.342207,
36.1985,37.18697,-0.433325,
36.19791,37.18701,-0.863125,
36.19865,37.18701,-0.875724,
36.2038,37.18701,1.324906,
36.19806,37.18702,0.311707,
36.19886,37.18706,0.829143,
36.19902,37.18709,2.993979,
36.19832,37.1871,1.686999,
36.20379,37.1871,0.081052,
36.19912,37.18711,-2.222792,
36.20314,37.18712,0.461018,
36.20422,37.18712,0.09061,
36.20431,37.18712,1.266414,
36.19936,37.18714,-0.97782,
36.20329,37.18714,-0.107381,
36.2047,37.18714,0.506039,
36.19923,37.18715,0.225501,
36.19861,37.18715,-1.714397,
36.20356,37.18715,0.977107,
36.20488,37.18718,1.539312,
36.20446,37.18719,4.77026,
36.19882,37.1872,1.058822,
36.19803,37.18721,-1.59015,
36.20506,37.18721,0.177652,
36.20374,37.18722,0.723065,
36.20273,37.18723,-3.343396,
36.20336,37.18723,1.102025,
36.19901,37.18724,2.59117,
36.19821,37.18726,-0.343338,
36.20552,37.18726,-0.201572,
36.19913,37.18727,1.89528,
36.20616,37.18728,0.96512,
36.20465,37.18729,0.325204,
36.20355,37.1873,-0.318202,
36.19788,37.18731,-0.044577,
36.19927,37.18731,0.232022,
36.20323,37.18731,0.342441,
36.19841,37.18732,-2.763903,
36.20417,37.18732,0.026671,
36.19938,37.18735,0.747902,
36.1982,37.18737,0.037722,
36.19856,37.18737,-0.807196,
36.2,37.18738,0.526037,
36.19881,37.18742,1.720673,
36.20275,37.18742,-0.100929,
36.19896,37.18745,1.929763,
36.20478,37.18746,0.701736,
36.19853,37.18747,0.032013,
36.19913,37.18748,0.477392,
36.19788,37.1875,0.633077,
36.20335,37.1875,0.289984,
36.20308,37.1875,0.905499,
36.20292,37.1875,1.08845,
36.20492,37.1875,0.42149,
36.20505,37.1875,2.078391,
36.20521,37.1875,-1.073809,
36.19927,37.18753,0.003866,
