lat,lon,meta,elav
37.1509,36.20969,4562601,1.198165
37.15092,36.21416,1653287,1.595997
37.15096,36.21071,3896620,0.030527
37.15096,36.21113,3622046,-3.300664
37.15097,36.21206,3020321,0.458387
37.15099,36.21432,1548139,1.409203
37.15099,36.21373,1933711,1.422229
37.15102,36.20885,5105920,1.307515
37.15102,36.21611,385584,1.274478
37.15102,36.21642,181114,0.094885
37.15103,36.20613,6876047,0.308271
37.15103,36.21458,1378725,1.873356
37.15106,36.21392,1811037,1.557794
37.15109,36.21474,1273576,0.192813
37.15116,36.21185,3154708,0.634652
37.15116,36.20862,5257828,0.291685
37.15117,36.21281,2529615,-0.089815
37.15117,36.20726,6139971,1.583303
37.15118,36.20933,4796312,0.195011
37.15118,36.21369,1957100,1.021107
37.15119,36.21428,1577371,1.715693
37.15121,36.2163,262923,1.772741
37.15123,36.21387,1840266,0.58555
37.15124,36.21311,2336837,0.628535
37.15125,36.20845,5368836,0.836806
37.15126,36.20884,5111789,-0.476937
37.15126,36.20798,5672621,3.949353
37.15128,36.20673,6484661,-5.591582
37.15128,36.21594,496611,-5.378681
37.15128,36.21399,1764325,1.134922
37.15129,36.21547,800396,1.187684
37.15129,36.21326,2237528,2.73902
37.1513,36.21409,1700065,1.115349
37.15132,36.21216,2956098,-0.529431
37.15133,36.21338,2161587,1.415774
37.15135,36.21034,4136185,0.57528
37.15135,36.21425,1594915,1.491004
37.15136,36.20711,6239306,0.490895
37.1514,36.20988,4434133,0.403114
37.1514,36.21009,4299767,1.132542
37.15143,36.2073,6116632,8.217434
37.15143,36.21306,2366068,0.802616
37.15144,36.21249,2739957,-0.824882
37.15144,36.21607,408999,-2.402951
37.15144,36.21478,1250247,0.911271
37.15145,36.2067,6502206,-4.186185
37.15145,36.20915,4913182,0.989869
37.1515,36.21663,46802,0.100046
37.15159,36.21563,695274,-0.889648
37.1516,36.21301,2401139,1.080141
37.15162,36.21418,1641681,-0.414333
37.15162,36.2136,2015569,0.334115
37.15163,36.21315,2307670,0.845927
37.15164,36.2084,5398089,-0.304882
37.15165,36.20708,6256864,0.028476
37.15167,36.21602,444077,0.983978
37.15168,36.20668,6519758,-6.390929
37.15168,36.20727,6134186,4.880735
37.15168,36.21333,2190836,-0.014011
37.15168,36.21445,1466428,-0.363422
37.15173,36.20916,4907371,-9.581297
37.15173,36.21356,2044791,0.798528
37.15173,36.21461,1361277,0.347093
37.15177,36.20868,5217002,-0.993402
37.1518,36.21375,1922117,-1.399557
37.15181,36.21479,1244446,0.461501
37.15182,36.21645,163677,-4.359235
37.15185,36.21625,292205,2.05166
37.15185,36.21443,1478131,1.835742
37.15186,36.20839,5403956,0.70304
37.15186,36.21495,1139296,-0.656246
37.15188,36.21598,467468,-0.569713
37.15189,36.21397,1776077,0.208234
37.1519,36.21458,1378822,0.432114
37.15191,36.20665,6537309,-4.745492
37.15193,36.21135,3481946,0.878738
37.15194,36.21415,1659243,-1.5719
37.15195,36.21119,3587104,0.778058
37.15195,36.21477,1256146,1.261527
37.15197,36.2115,3382636,-2.992967
37.15198,36.2164,198747,2.012606
37.152,36.21052,4019417,-0.198382
37.15205,36.20588,7039737,1.211405
37.15206,36.21456,1390524,-0.892055
37.15207,36.21174,3224913,0.564613
37.15214,36.21195,3090555,-3.145852
37.15215,36.2149,1174380,0.829583
37.15222,36.2064,6700920,0.092034
37.15229,36.21654,105310,3.104118
37.15231,36.21054,4007768,0.903188
37.15231,36.20824,5503320,0.403622
37.15233,36.20892,5059330,-2.162728
37.15234,36.20882,5123593,0.963359
37.15238,36.21027,4183036,0.837625
37.15246,36.21249,2740071,1.233553
37.15248,36.20661,6560741,-0.029611
37.15249,36.21002,4346624,-1.242951
37.15249,36.20936,4773090,1.338876
37.15249,36.20817,5550076,0.211561
37.15249,36.20686,6403008,0.403613
37.15251,36.21053,4013632,0.422159
37.15251,36.20644,6671742,1.087517
37.15253,36.20879,5146982,0.10694
37.15262,36.20843,5380672,-1.145144
37.15267,36.20629,6771074,0.852407
37.15268,36.2064,6700971,3.467583
37.15269,36.20674,6478976,0.566734
37.1527,36.21172,3242509,0.339993
37.1527,36.20653,6613343,0.36985
37.15274,36.20601,6952184,0.65572
37.15276,36.21156,3341830,0.715196
37.15283,36.21055,4001984,-4.206465
37.15283,36.20977,4510238,-1.394269
37.15285,36.21027,4183088,0.642282
37.15291,36.20827,5485861,0.621829
37.15292,36.2085,5333970,-0.118054
37.15294,36.2087,5205448,0.662431
37.15296,36.20663,6549110,-2.056916
37.15296,36.20915,4913350,0.802185
37.15297,36.2064,6701003,0.548065
37.15302,36.20787,5742921,3.334419
37.15305,36.20682,6426438,-2.404217
37.15305,36.20815,5561822,0.701873
37.15309,36.20617,6847067,0.719891
37.15309,36.21029,4171431,-0.108391
37.15313,36.21147,3400291,-0.069211
37.15318,36.21513,1022603,-0.259399
37.15323,36.2087,5205480,0.790418
37.15327,36.20807,5614425,0.042049
37.15331,36.20922,4866653,0.129159
37.15335,36.21213,2973850,1.205075
37.1534,36.21441,1489987,0.332353
37.1534,36.2061,6893837,1.96284
37.15347,36.21405,1723675,1.658186
37.15348,36.2069,6373908,0.801419
37.15348,36.21269,2611660,-0.162951
37.1535,36.21092,3762536,0.922815
37.15352,36.21611,385863,0.066918
37.15352,36.21522,964221,0.328335
37.15352,36.20975,4521999,-1.085127
37.15352,36.2079,5725451,-0.051275
37.15355,36.20884,5112044,2.954234
37.15355,36.20862,5258094,0.341972
37.15355,36.21285,2506512,0.77839
37.15358,36.2075,5982505,0.089533
37.15359,36.21627,280714,-2.129487
37.15359,36.20945,4714792,-1.954892
37.15361,36.21209,2997247,-1.873489
37.15364,36.21255,2699308,0.061953
37.15365,36.21318,2290369,-0.948123
37.1537,36.21333,2191061,-6.223582
37.15371,36.21642,181414,-2.700804
37.15371,36.20814,5567738,0.608678
37.15374,36.20718,6192835,0.979321
37.15376,36.20578,7104189,1.533836
37.15377,36.20647,6654356,1.038609
37.1538,36.20875,5170492,0.200742
37.15381,36.21097,3727519,-2.471423
37.15381,36.20859,5275649,0.870603
37.15381,36.20743,6029267,0.659135
37.15381,36.21265,2635065,-0.002234
37.15383,36.21074,3879413,1.04955
37.15383,36.21015,4259143,0.211493
37.15384,36.21656,93798,-2.662802
37.15385,36.21368,1963239,-0.844018
37.15385,36.20599,6963991,1.809698
37.15397,36.2131,2342983,0.795037
37.15398,36.21668,12026,-3.492431
37.15398,36.21204,3032340,0.705063
37.15399,36.2122,2927185,-0.217805
37.15402,36.21326,2237832,0.88448
37.15405,36.21634,234030,-0.315857
37.15406,36.20785,5754721,1.915656
37.15408,36.20993,4405221,0.533551
37.15412,36.21086,3797657,0.164522
37.15415,36.21273,2582525,0.925883
37.15416,36.20715,6210408,-0.407555
37.15416,36.2064,6701136,1.62105
37.15417,36.21559,724771,-0.542185
37.15417,36.20851,5328267,0.554749
37.1542,36.20919,4884278,0.618519
37.15421,36.21289,2477375,0.628596
37.15421,36.20798,5672949,-1.22434
37.15421,36.21241,2792843,0.918745
37.15421,36.21128,3528935,-1.036441
37.15421,36.2094,4749913,-4.753463
37.15423,36.20817,5550270,-1.717528
37.15426,36.21099,3715885,0.068942
